time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.001,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,3e-05,7e-05,0.0,-2e-05,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.024,0.006,True,True,Mode(963497464),0.0,0,
0.011,THRUST_SEARCH,OPEN_LOOP,-0.0001,-6e-05,-0.00023,-6e-05,0.0,-0.00048,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9775,0.006,True,False,Mode(963497464),0.011,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,-0.0001,-0.00013,-0.00024,-0.00013,0.0,-0.00093,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9231,0.0016,True,False,Mode(963497464),0.0215,1,0.58
0.033,THRUST_SEARCH,OPEN_LOOP,-0.0002,-0.00017,-0.00026,-0.00017,0.0,-0.00138,0.5807,0.5807,0.5807,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9302,0.004,True,False,Mode(963497464),0.0325,1,0.58
0.043,THRUST_SEARCH,OPEN_LOOP,-0.0002,-0.0002,-0.00021,-0.0002,0.0,-0.00148,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9316,0.006,True,False,Mode(963497464),0.0435,1,0.58
0.054,THRUST_SEARCH,OPEN_LOOP,-0.0002,-0.00021,-0.00021,-0.00021,0.0,-0.00146,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9346,0.008,True,True,Mode(963497464),0.0545,1,0.58
0.066,THRUST_SEARCH,OPEN_LOOP,-0.0002,-0.00019,-0.0001,-0.0001,0.0,-0.00088,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9544,0.004,True,False,Mode(963497464),0.0655,2,0.5811
0.076,THRUST_SEARCH,OPEN_LOOP,-0.0002,-0.00017,-0.0001,-0.0001,0.0,-0.00048,0.5815,0.5815,0.5815,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9698,0.006,True,False,Mode(963497464),0.0765,2,0.5811
0.087,THRUST_SEARCH,OPEN_LOOP,-0.0001,-0.00012,1e-05,1e-05,0.0,0.00023,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9682,0.008,True,False,Mode(963497464),0.0875,2,0.5811
0.098,THRUST_SEARCH,OPEN_LOOP,-0.0001,-9e-05,-1e-05,-1e-05,0.0,0.00061,0.582,0.582,0.582,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9588,0.004,True,False,Mode(963497464),0.0985,2,0.5811
0.11,THRUST_SEARCH,OPEN_LOOP,-0.0001,-5e-05,4e-05,4e-05,0.0,0.001,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9499,0.006,True,True,Mode(963497464),0.1095,2,0.5811
0.12,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,0.00018,0.00018,0.0,0.00163,0.5824,0.5824,0.5824,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9477,0.0075,True,False,Mode(963497464),0.1199,3,0.5822
0.131,THRUST_SEARCH,OPEN_LOOP,0.0002,0.00017,0.0006,0.0006,0.0,0.00303,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9442,0.0015,True,False,Mode(963497464),0.1306,3,0.5822
0.142,THRUST_SEARCH,OPEN_LOOP,0.0003,0.0003,0.00063,0.00063,0.0,0.00398,0.5828,0.5828,0.5828,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9199,0.004,True,False,Mode(963497464),0.1415,3,0.5822
0.152,THRUST_SEARCH,OPEN_LOOP,0.0003,0.00033,0.00031,0.00033,0.0,0.00391,0.583,0.583,0.583,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9485,0.006,True,False,Mode(963497464),0.152,3,0.5822
0.163,THRUST_SEARCH,OPEN_LOOP,0.0003,0.00035,0.00025,0.00035,0.0,0.00369,0.5833,0.5833,0.5833,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0118,0.0015,True,True,Mode(963497464),0.1626,3,0.5822
0.174,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00037,0.00031,0.00037,0.0,0.00355,0.5835,0.5835,0.5835,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0605,0.004,True,False,Mode(963497464),0.1735,4,0.5833
0.184,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00041,0.0004,0.00041,0.0,0.00353,0.5837,0.5837,0.5837,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0952,0.006,True,False,Mode(963497464),0.1841,4,0.5833
0.195,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00043,0.00038,0.00043,0.0,0.00344,0.5839,0.5839,0.5839,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.109,0.008,True,False,Mode(963497464),0.195,4,0.5833
0.206,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00043,0.00024,0.00043,0.0,0.00314,0.5841,0.5841,0.5841,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.1024,0.001,True,False,Mode(963497464),0.206,4,0.5833
0.218,THRUST_SEARCH,OPEN_LOOP,0.0004,0.0004,0.0001,0.0004,0.0,0.00273,0.5843,0.5843,0.5843,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.093,0.0061,True,True,Mode(963497464),0.2171,4,0.5833
0.228,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00039,0.00017,0.00039,0.0,0.00245,0.5846,0.5846,0.5846,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0798,0.008,True,False,Mode(963497464),0.228,5,0.5843
0.239,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00037,0.00013,0.00037,0.0,0.00217,0.5848,0.5848,0.5848,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0637,0.01,True,False,Mode(963497464),0.2389,5,0.5843
0.25,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00036,0.00019,0.00036,0.0,0.00198,0.585,0.585,0.585,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0964,0.0037,True,False,Mode(963497464),0.2496,5,0.5843
0.261,THRUST_SEARCH,OPEN_LOOP,0.0003,0.00034,0.00012,0.00034,0.0,0.00176,0.5852,0.5852,0.5852,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0836,0.006,True,False,Mode(963497464),0.2606,5,0.5843
0.272,THRUST_SEARCH,OPEN_LOOP,0.0003,0.00033,0.00011,0.00033,0.0,0.00155,0.5854,0.5854,0.5854,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0955,0.008,True,True,Mode(963497464),0.2715,5,0.5843
0.283,THRUST_SEARCH,OPEN_LOOP,0.0002,0.00025,-0.00034,0.00025,0.0,0.00103,0.5857,0.5857,0.5857,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9861,0.004,True,False,Mode(963497464),0.2825,6,0.5854
0.293,THRUST_SEARCH,OPEN_LOOP,0.0002,0.00018,-0.00029,0.00018,0.0,0.00064,0.5859,0.5859,0.5859,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9387,0.005,True,False,Mode(963497464),0.293,6,0.5854
0.304,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00014,-0.00023,0.00014,0.0,0.00035,0.5861,0.5861,0.5861,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9085,0.007,True,False,Mode(963497464),0.3039,6,0.5854
0.315,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00011,-0.00011,0.00011,0.0,0.00019,0.5863,0.5863,0.5863,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9498,0.003,True,False,Mode(963497464),0.3149,6,0.5854
0.325,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,-9e-05,8e-05,0.0,7e-05,0.5865,0.5865,0.5865,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9728,0.0045,True,True,Mode(963497464),0.3254,6,0.5854
0.336,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,0.0001,0.0001,0.0,8e-05,0.5867,0.5867,0.5867,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9893,0.007,True,False,Mode(963497464),0.3364,7,0.5865
0.347,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,6e-05,8e-05,0.0,6e-05,0.5869,0.5869,0.5869,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0263,0.0006,True,False,Mode(963497464),0.3474,7,0.5865
0.358,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,0.00012,0.00012,0.0,8e-05,0.5872,0.5872,0.5872,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0404,0.003,True,False,Mode(963497464),0.3583,7,0.5865
0.369,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,-0.00012,7e-05,0.0,-3e-05,0.5874,0.5874,0.5874,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0131,0.008,True,False,Mode(963497464),0.3693,7,0.5865
0.381,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,1e-05,6e-05,0.0,-6e-05,0.5876,0.5876,0.5876,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0004,0.001,True,True,Mode(963497464),0.3807,7,0.5865
0.392,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,4e-05,6e-05,0.0,-7e-05,0.5878,0.5878,0.5878,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9986,0.004,True,False,Mode(963497464),0.3921,8,0.5876
0.403,THRUST_SEARCH,OPEN_LOOP,0.0001,5e-05,5e-05,5e-05,0.0,-7e-05,0.5881,0.5881,0.5881,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-170.9963,0.006,True,False,Mode(963497464),0.4026,8,0.5876
0.413,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,0.00018,0.00018,0.0,-1e-05,0.5883,0.5883,0.5883,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0271,0.0015,True,False,Mode(963497464),0.4131,8,0.5876
0.424,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,0.00013,0.00013,0.0,2e-05,0.5885,0.5885,0.5885,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0549,0.003,True,False,Mode(963497464),0.4241,8,0.5876
0.436,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,0.0,7e-05,0.0,-2e-05,0.5887,0.5887,0.5887,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.067,0.005,True,True,Mode(963497464),0.435,8,0.5876
0.446,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,4e-05,6e-05,0.0,-3e-05,0.5889,0.5889,0.5889,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.073,0.009,True,False,Mode(963497464),0.446,9,0.5887
0.457,THRUST_SEARCH,OPEN_LOOP,0.0,4e-05,-0.00015,4e-05,0.0,-0.00012,0.5891,0.5891,0.5891,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.1339,0.002,True,False,Mode(963497464),0.457,9,0.5887
0.468,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,0.0002,0.0002,0.0,-5e-05,0.5894,0.5894,0.5894,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.124,0.0067,True,False,Mode(963497464),0.4676,9,0.5887
0.479,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,0.00036,0.00036,0.0,7e-05,0.5896,0.5896,0.5896,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.1233,0.009,True,False,Mode(963497464),0.4786,9,0.5887
0.49,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,3e-05,8e-05,0.0,5e-05,0.5898,0.5898,0.5898,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0653,0.001,True,True,Mode(963497464),0.4896,9,0.5887
0.502,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,-3e-05,7e-05,0.0,0.0,0.59,0.59,0.59,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0501,0.006,True,False,Mode(963497464),0.5005,10,0.5898
0.511,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,-1e-05,6e-05,0.0,-3e-05,0.5902,0.5902,0.5902,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-171.373,-171.0017,0.0066,True,False,Mode(963497464),0.5111,10,0.5898
