time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00047,0.00057,0.00057,0.0,5e-05,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,0.1499,0.004,True,True,Mode(963497464),0.001,0,
0.012,THRUST_SEARCH,OPEN_LOOP,0.0006,0.00059,0.00074,0.00074,0.0,0.00044,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,0.1044,0.006,True,False,Mode(963497464),0.012,1,0.58
0.023,THRUST_SEARCH,OPEN_LOOP,0.0007,0.00067,0.00081,0.00081,0.0,0.00102,0.5805,0.5805,0.5805,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,0.0602,0.008,True,False,Mode(963497464),0.0229,1,0.58
0.034,THRUST_SEARCH,OPEN_LOOP,0.0007,0.00072,0.00081,0.00081,0.0,0.00151,0.5807,0.5807,0.5807,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.0255,0.001,True,False,Mode(963497464),0.0343,1,0.58
0.045,THRUST_SEARCH,OPEN_LOOP,0.0007,0.00066,0.00046,0.00066,0.0,0.00032,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.0525,0.004,True,False,Mode(963497464),0.0453,1,0.58
0.056,THRUST_SEARCH,OPEN_LOOP,0.0006,0.00057,0.00036,0.00057,0.0,-0.00104,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.0497,0.002,True,True,Mode(963497464),0.0562,1,0.58
0.067,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00046,0.0002,0.00046,0.0,-0.00265,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.088,0.003,True,False,Mode(963497464),0.0672,2,0.5811
0.078,THRUST_SEARCH,OPEN_LOOP,0.0004,0.00037,0.00022,0.00037,0.0,-0.0035,0.5816,0.5816,0.5816,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.0855,0.0045,True,False,Mode(963497464),0.0777,2,0.5811
0.089,THRUST_SEARCH,OPEN_LOOP,0.0003,0.00031,0.00026,0.00031,0.0,-0.00379,0.5818,0.5818,0.5818,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.1094,0.007,True,False,Mode(963497464),0.0887,2,0.5811
0.1,THRUST_SEARCH,OPEN_LOOP,0.0002,0.00024,0.00018,0.00024,0.0,-0.0041,0.582,0.582,0.582,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.158,0.001,True,False,Mode(963497464),0.0998,2,0.5811
0.111,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00012,-9e-05,0.00012,0.0,-0.005,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.2518,-0.1434,0.003,True,True,Mode(963497464),0.1108,2,0.5811
