time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.003,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,0.0,0.0,0.0,0.0,0.5801,0.5801,0.5801,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9856,0.0127,True,True,Mode(963497464),0.0,0,
0.012,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,2e-05,2e-05,0.0,4e-05,0.5802,0.5802,0.5802,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9813,0.002,True,False,Mode(963497464),0.012,1,0.5801
0.023,THRUST_SEARCH,OPEN_LOOP,0.0,5e-05,0.00013,0.00013,0.0,0.00041,0.5805,0.5805,0.5805,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9824,0.001,True,False,Mode(963497464),0.0233,1,0.5801
0.034,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,0.00013,0.00013,0.0,0.0007,0.5807,0.5807,0.5807,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9824,0.012,True,False,Mode(963497464),0.0343,1,0.5801
0.045,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,0.0001,0.0001,0.0,0.00078,0.5809,0.5809,0.5809,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9879,0.0015,True,False,Mode(963497464),0.0448,1,0.5801
0.056,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00012,0.00015,0.00015,0.0,0.00103,0.5811,0.5811,0.5811,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.99,0.001,True,True,Mode(963497464),0.0557,1,0.5801
0.067,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00014,0.00016,0.00016,0.0,0.00116,0.5813,0.5813,0.5813,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9901,0.001,True,False,Mode(963497464),0.0667,2,0.5811
0.078,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00015,0.00014,0.00015,0.0,0.00113,0.5816,0.5816,0.5816,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9874,0.009,True,False,Mode(963497464),0.0777,2,0.5811
0.089,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00015,0.00013,0.00015,0.0,0.00101,0.5818,0.5818,0.5818,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9839,0.004,True,False,Mode(963497464),0.0887,2,0.5811
0.099,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00015,0.00011,0.00015,0.0,0.00082,0.582,0.582,0.582,,0.65,,False,0.0,0.0,0.0,0.0,0.0,172.9764,172.9847,0.0,True,False,Mode(963497464),0.0991,2,0.5811
