time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,9e-05,9e-05,0.0,0.0,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.533,0.006,True,True,Mode(963497464),0.0,0,
0.01,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,2e-05,6e-05,0.0,-9e-05,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5329,0.0075,True,False,Mode(963497464),0.0105,1,0.58
0.021,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,7e-05,7e-05,0.0,-5e-05,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5313,0.001,True,False,Mode(963497464),0.0215,1,0.58
0.032,THRUST_SEARCH,OPEN_LOOP,0.0001,7e-05,8e-05,8e-05,0.0,3e-05,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5309,0.003,True,False,Mode(963497464),0.0324,1,0.58
0.043,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,6e-05,6e-05,0.0,-2e-05,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5322,0.005,True,False,Mode(963497464),0.0434,1,0.58
0.054,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,5e-05,6e-05,0.0,-6e-05,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5317,0.0007,True,True,Mode(963497464),0.0543,1,0.58
0.065,THRUST_SEARCH,OPEN_LOOP,0.0,5e-05,1e-05,5e-05,0.0,-0.00029,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.531,0.003,True,False,Mode(963497464),0.0653,2,0.5822
0.076,THRUST_SEARCH,OPEN_LOOP,0.0,5e-05,7e-05,7e-05,0.0,-0.00018,0.583,0.583,0.583,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5321,0.0045,True,False,Mode(963497464),0.0758,2,0.5822
0.087,THRUST_SEARCH,OPEN_LOOP,0.0001,5e-05,6e-05,6e-05,0.0,-0.00014,0.5835,0.5835,0.5835,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5274,0.007,True,False,Mode(963497464),0.0867,2,0.5822
0.097,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,8e-05,8e-05,0.0,-3e-05,0.5839,0.5839,0.5839,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5287,0.003,True,False,Mode(963497464),0.0972,2,0.5822
0.108,THRUST_SEARCH,OPEN_LOOP,0.0001,0.0001,0.00021,0.00021,0.0,0.00046,0.5843,0.5843,0.5843,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5462,0.005,True,True,Mode(963497464),0.1082,2,0.5822
0.119,THRUST_SEARCH,OPEN_LOOP,0.0001,0.0001,8e-05,0.0001,0.0,0.00038,0.5848,0.5848,0.5848,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5465,0.007,True,False,Mode(963497464),0.1192,3,0.5843
0.13,THRUST_SEARCH,OPEN_LOOP,0.0001,0.0001,0.00012,0.00012,0.0,0.00042,0.5852,0.5852,0.5852,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5467,0.009,True,False,Mode(963497464),0.1297,3,0.5843
0.14,THRUST_SEARCH,OPEN_LOOP,0.0001,0.0001,6e-05,0.0001,0.0,0.00031,0.5856,0.5856,0.5856,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.541,0.0015,True,False,Mode(963497464),0.1401,3,0.5843
0.151,THRUST_SEARCH,OPEN_LOOP,0.0001,0.0001,8e-05,0.0001,0.0,0.00028,0.586,0.586,0.586,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5399,0.006,True,False,Mode(963497464),0.1511,3,0.5843
0.162,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,4e-05,9e-05,0.0,0.00016,0.5865,0.5865,0.5865,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.539,0.008,True,True,Mode(963497464),0.1621,3,0.5843
0.173,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,6e-05,8e-05,0.0,0.00012,0.5869,0.5869,0.5869,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.535,0.004,True,False,Mode(963497464),0.1732,4,0.5865
0.184,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,9e-05,9e-05,0.0,0.00012,0.5873,0.5873,0.5873,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5357,0.006,True,False,Mode(963497464),0.1837,4,0.5865
0.194,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,0.00012,0.00012,0.0,0.00016,0.5878,0.5878,0.5878,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5331,0.0075,True,False,Mode(963497464),0.1942,4,0.5865
0.205,THRUST_SEARCH,OPEN_LOOP,0.0001,9e-05,7e-05,9e-05,0.0,0.00013,0.5882,0.5882,0.5882,,0.67,,False,0.0,0.0,0.0,0.0,0.0,0.5304,0.5318,0.0015,True,False,Mode(963497464),0.2047,4,0.5865
