time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,-0.0,-3e-05,-3e-05,-3e-05,0.0,-0.0,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2782,0.003,True,True,Mode(963497464),0.0,0,
0.011,THRUST_SEARCH,OPEN_LOOP,-0.0001,-0.00015,-0.00029,-0.00015,0.0,-0.00041,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2792,0.006,True,False,Mode(963497464),0.011,1,0.58
0.021,THRUST_SEARCH,OPEN_LOOP,-0.0001,-9e-05,2e-05,2e-05,0.0,6e-05,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2774,0.0015,True,False,Mode(963497464),0.0215,1,0.58
0.033,THRUST_SEARCH,OPEN_LOOP,-0.0001,-6e-05,2e-05,2e-05,0.0,0.00048,0.5807,0.5807,0.5807,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2817,0.003,True,False,Mode(963497464),0.0324,1,0.58
0.043,THRUST_SEARCH,OPEN_LOOP,-0.0001,-6e-05,-8e-05,-6e-05,0.0,0.00036,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2768,0.0075,True,False,Mode(963497464),0.0429,1,0.58
0.055,THRUST_SEARCH,OPEN_LOOP,-0.0,-4e-05,-1e-05,-1e-05,0.0,0.00056,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2739,0.009,True,True,Mode(963497464),0.0539,1,0.58
0.065,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,1e-05,1e-05,0.0,0.00075,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2723,0.004,True,False,Mode(963497464),0.0648,2,0.5811
0.076,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-3e-05,-2e-05,0.0,0.00068,0.5815,0.5815,0.5815,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2704,0.006,True,False,Mode(963497464),0.0758,2,0.5811
0.087,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,1e-05,1e-05,0.0,0.00078,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.273,0.008,True,False,Mode(963497464),0.0868,2,0.5811
0.098,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-3e-05,-1e-05,0.0,0.00067,0.582,0.582,0.582,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2752,0.0039,True,False,Mode(963497464),0.0977,2,0.5811
0.109,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-8e-05,-2e-05,0.0,0.00042,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2741,0.006,True,True,Mode(963497464),0.1086,2,0.5811
0.12,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-3e-05,-2e-05,0.0,0.00039,0.5824,0.5824,0.5824,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2756,0.008,True,False,Mode(963497464),0.1196,3,0.5822
0.131,THRUST_SEARCH,OPEN_LOOP,-0.0001,-8e-05,-0.00028,-8e-05,0.0,-0.00028,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2757,0.0013,True,False,Mode(963497464),0.1309,3,0.5822
0.142,THRUST_SEARCH,OPEN_LOOP,-0.0001,-7e-05,-1e-05,-1e-05,0.0,-0.00013,0.5828,0.5828,0.5828,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2725,0.006,True,False,Mode(963497464),0.1418,3,0.5822
0.153,THRUST_SEARCH,OPEN_LOOP,-0.0001,-6e-05,-2e-05,-2e-05,0.0,-2e-05,0.5831,0.5831,0.5831,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2704,0.008,True,False,Mode(963497464),0.1527,3,0.5822
0.163,THRUST_SEARCH,OPEN_LOOP,-0.0001,-9e-05,-0.00022,-9e-05,0.0,-0.00033,0.5833,0.5833,0.5833,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2708,0.001,True,True,Mode(963497464),0.1632,3,0.5822
0.174,THRUST_SEARCH,OPEN_LOOP,-0.0001,-8e-05,-3e-05,-3e-05,0.0,-0.00022,0.5835,0.5835,0.5835,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2663,0.005,True,False,Mode(963497464),0.1741,4,0.5833
0.185,THRUST_SEARCH,OPEN_LOOP,-0.0001,-7e-05,-1e-05,-1e-05,0.0,-0.00011,0.5837,0.5837,0.5837,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2673,0.0069,True,False,Mode(963497464),0.1851,4,0.5833
0.196,THRUST_SEARCH,OPEN_LOOP,-0.0001,-0.00011,-0.00026,-0.00011,0.0,-0.00037,0.5839,0.5839,0.5839,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.272,0.009,True,False,Mode(963497464),0.196,4,0.5833
0.207,THRUST_SEARCH,OPEN_LOOP,-0.0001,-9e-05,1e-05,1e-05,0.0,-0.00022,0.5841,0.5841,0.5841,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2748,0.0045,True,False,Mode(963497464),0.2065,4,0.5833
0.218,THRUST_SEARCH,OPEN_LOOP,-0.0001,-8e-05,1e-05,1e-05,0.0,-0.00011,0.5844,0.5844,0.5844,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2787,0.007,True,True,Mode(963497464),0.0,4,0.5833
0.23,THRUST_SEARCH,OPEN_LOOP,-0.0001,-8e-05,-7e-05,-7e-05,0.0,-0.0001,0.5846,0.5846,0.5846,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2816,0.009,True,False,Mode(963497464),0.011,5,0.5844
0.239,THRUST_SEARCH,OPEN_LOOP,-0.0001,-0.0001,-0.00024,-0.0001,0.0,-0.00026,0.5848,0.5848,0.5848,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2843,0.0015,True,False,Mode(963497464),0.0214,5,0.5844
0.25,THRUST_SEARCH,OPEN_LOOP,-0.0001,-9e-05,-1e-05,-1e-05,0.0,-0.00017,0.585,0.585,0.585,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2839,0.006,True,False,Mode(963497464),0.0324,5,0.5844
0.261,THRUST_SEARCH,OPEN_LOOP,-0.0001,-8e-05,-3e-05,-3e-05,0.0,-0.00012,0.5852,0.5852,0.5852,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-90.2728,-90.2818,0.008,True,False,Mode(963497464),0.0434,5,0.5844
