time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.001,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,0.0,1e-05,0.0,-0.0,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5511,0.007,True,True,Mode(963497464),0.0,0,
0.01,THRUST_SEARCH,OPEN_LOOP,0.0001,6e-05,0.00011,0.00011,0.0,0.00015,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5631,0.0015,True,False,Mode(963497464),0.0105,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,0.00011,0.00011,0.0,0.00029,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5681,0.0031,True,False,Mode(963497464),0.0,1,0.58
0.032,THRUST_SEARCH,OPEN_LOOP,0.0,5e-05,-2e-05,5e-05,0.0,-7e-05,0.5806,0.5806,0.5806,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5653,0.004,True,False,Mode(963497464),0.0109,1,0.58
0.043,THRUST_SEARCH,OPEN_LOOP,0.0,2e-05,-5e-05,2e-05,0.0,-0.00047,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5636,0.009,True,False,Mode(963497464),0.0213,1,0.58
0.053,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-4e-05,0.0,0.0,-0.00072,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5547,0.0015,True,True,Mode(963497464),0.0319,1,0.58
0.064,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,1e-05,1e-05,0.0,-0.00065,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5622,0.003,True,False,Mode(963497464),0.0428,2,0.5811
0.075,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,2e-05,2e-05,0.0,-0.00053,0.5815,0.5815,0.5815,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5586,0.0075,True,False,Mode(963497464),0.0533,2,0.5811
0.086,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,2e-05,2e-05,0.0,-0.00044,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5589,0.001,True,False,Mode(963497464),0.0643,2,0.5811
0.097,THRUST_SEARCH,OPEN_LOOP,0.0,2e-05,7e-05,7e-05,0.0,-0.00017,0.5819,0.5819,0.5819,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5653,0.003,True,False,Mode(963497464),0.0753,2,0.5811
0.107,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-8e-05,-1e-05,0.0,-0.00046,0.5821,0.5821,0.5821,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5643,0.0045,True,True,Mode(963497464),0.0857,2,0.5811
0.118,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,6e-05,6e-05,0.0,-0.00025,0.5824,0.5824,0.5824,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5787,0.001,True,False,Mode(963497464),0.0967,3,0.5821
0.129,THRUST_SEARCH,OPEN_LOOP,0.0,2e-05,6e-05,6e-05,0.0,-9e-05,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5802,0.003,True,False,Mode(963497464),0.1077,3,0.5821
0.14,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,-1e-05,1e-05,0.0,-0.00016,0.5828,0.5828,0.5828,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5752,0.0045,True,False,Mode(963497464),0.1182,3,0.5821
0.151,THRUST_SEARCH,OPEN_LOOP,0.0,2e-05,6e-05,6e-05,0.0,-5e-05,0.583,0.583,0.583,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-174.5653,-174.5726,0.007,True,False,Mode(963497464),0.1291,3,0.5821
