time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,0.0001,0.00012,0.00015,0.00015,0.0,1e-05,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.3448,0.006,True,True,Mode(963497464),0.0,0,
0.011,THRUST_SEARCH,OPEN_LOOP,0.0001,8e-05,4e-05,8e-05,0.0,-0.0001,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.339,0.008,True,False,Mode(963497464),0.011,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,-0.00014,1e-05,0.0,-0.00072,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.3399,0.001,True,False,Mode(963497464),0.0219,1,0.58
0.033,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-0.0,-0.0,0.0,-0.00072,0.5807,0.5807,0.5807,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.3423,0.006,True,False,Mode(963497464),0.0329,1,0.58
0.044,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,5e-05,5e-05,0.0,-0.00049,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.3335,0.008,True,False,Mode(963497464),0.0439,1,0.58
0.054,THRUST_SEARCH,OPEN_LOOP,-0.0001,-0.00012,-0.00041,-0.00012,0.0,-0.00231,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.2549,0.001,True,True,Mode(963497464),0.0544,1,0.58
0.065,THRUST_SEARCH,OPEN_LOOP,-0.0002,-0.00023,-0.00046,-0.00023,0.0,-0.00374,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.2341,0.003,True,False,Mode(963497464),0.0654,2,0.5811
0.076,THRUST_SEARCH,OPEN_LOOP,-0.0003,-0.0003,-0.00036,-0.0003,0.0,-0.00407,0.5815,0.5815,0.5815,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.2532,0.008,True,False,Mode(963497464),0.0,2,0.5811
0.087,THRUST_SEARCH,OPEN_LOOP,-0.0003,-0.00031,-0.00023,-0.00023,0.0,-0.00363,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.261,0.001,True,False,Mode(963497464),0.011,2,0.5811
0.098,THRUST_SEARCH,OPEN_LOOP,-0.0003,-0.00031,-0.00022,-0.00022,0.0,-0.00318,0.582,0.582,0.582,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.2642,0.003,True,False,Mode(963497464),0.0219,2,0.5811
0.109,THRUST_SEARCH,OPEN_LOOP,-0.0003,-0.00034,-0.0003,-0.0003,0.0,-0.00302,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,12.3256,12.2784,0.005,True,True,Mode(963497464),0.0329,2,0.5811
