time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-2e-05,-2e-05,0.0,0.0,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8407,0.003,True,True,Mode(963497464),0.0,0,
0.011,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-2e-05,-2e-05,0.0,2e-05,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8383,0.008,True,False,Mode(963497464),0.011,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,2e-05,2e-05,0.0,0.00013,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8291,0.001,True,False,Mode(963497464),0.0218,1,0.58
0.033,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-4e-05,-1e-05,0.0,1e-05,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8337,0.003,True,False,Mode(963497464),0.0328,1,0.58
0.044,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-1e-05,-1e-05,0.0,2e-05,0.5818,0.5818,0.5818,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8309,0.005,True,False,Mode(963497464),0.0438,1,0.58
0.054,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-2e-05,-1e-05,0.0,2e-05,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8389,0.0005,True,True,Mode(963497464),0.0543,1,0.58
0.065,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,2e-05,2e-05,0.0,0.00016,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8354,0.003,True,False,Mode(963497464),0.0653,2,0.5822
0.076,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,2e-05,2e-05,0.0,0.00027,0.583,0.583,0.583,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8332,0.0045,True,False,Mode(963497464),0.0758,2,0.5822
0.087,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,2e-05,2e-05,0.0,0.0003,0.5835,0.5835,0.5835,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8356,0.007,True,False,Mode(963497464),0.0868,2,0.5822
0.098,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-5e-05,-0.0,0.0,0.0001,0.5839,0.5839,0.5839,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8362,0.009,True,False,Mode(963497464),0.0977,2,0.5822
0.108,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,0.00014,0.5843,0.5843,0.5843,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8317,0.0045,True,True,Mode(963497464),0.1082,2,0.5822
0.119,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,1e-05,1e-05,0.0,0.00016,0.5848,0.5848,0.5848,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8307,0.0068,True,False,Mode(963497464),0.119,3,0.5843
0.13,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-4e-05,-0.0,0.0,4e-05,0.5852,0.5852,0.5852,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.834,0.009,True,False,Mode(963497464),0.1295,3,0.5843
0.14,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-6e-05,-2e-05,0.0,-9e-05,0.5856,0.5856,0.5856,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8374,0.0015,True,False,Mode(963497464),0.14,3,0.5843
0.151,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-3e-05,-2e-05,0.0,-0.00012,0.586,0.586,0.586,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8375,0.006,True,False,Mode(963497464),0.151,3,0.5843
0.161,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,1e-05,1e-05,0.0,-7e-05,0.5865,0.5865,0.5865,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8408,0.0075,True,True,Mode(963497464),0.1615,3,0.5843
0.172,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-4e-05,-2e-05,0.0,-0.00011,0.5869,0.5869,0.5869,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8404,0.001,True,False,Mode(963497464),0.1724,4,0.5865
0.183,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-1e-05,-1e-05,0.0,-9e-05,0.5873,0.5873,0.5873,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8385,0.003,True,False,Mode(963497464),0.1834,4,0.5865
0.194,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-3e-05,-2e-05,0.0,-0.00011,0.5878,0.5878,0.5878,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8381,0.008,True,False,Mode(963497464),0.1944,4,0.5865
0.205,THRUST_SEARCH,OPEN_LOOP,-0.0,-2e-05,-2e-05,-2e-05,0.0,-0.0001,0.5882,0.5882,0.5882,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8318,0.0008,True,False,Mode(963497464),0.2051,4,0.5865
0.216,THRUST_SEARCH,OPEN_LOOP,-0.0,-3e-05,-2e-05,-2e-05,0.0,-0.0001,0.5886,0.5886,0.5886,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-5.8338,-5.8345,0.003,True,True,Mode(963497464),0.0,4,0.5865
