time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-2e-05,-1e-05,0.0,-0.0,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4255,0.002,True,True,Mode(963497464),0.0,0,
0.011,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-1e-05,-1e-05,0.0,0.0,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4244,0.006,True,False,Mode(963497464),0.011,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-1e-05,-1e-05,0.0,2e-05,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4239,0.008,True,False,Mode(963497464),0.0219,1,0.58
0.033,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-2e-05,-1e-05,0.0,-0.0,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4233,0.0011,True,False,Mode(963497464),0.0331,1,0.58
0.044,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-2e-05,-1e-05,0.0,-2e-05,0.5818,0.5818,0.5818,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4237,0.006,True,False,Mode(963497464),0.044,1,0.58
0.055,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,0.0,0.0,0.0,6e-05,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.425,0.008,True,True,Mode(963497464),0.055,1,0.58
0.066,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,2e-05,2e-05,0.0,0.00016,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4264,0.001,True,False,Mode(963497464),0.0659,2,0.5822
0.077,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,0.00019,0.5831,0.5831,0.5831,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.427,0.006,True,False,Mode(963497464),0.0769,2,0.5822
0.087,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-1e-05,0.0,0.0,0.00015,0.5835,0.5835,0.5835,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4268,0.0075,True,False,Mode(963497464),0.0874,2,0.5822
0.098,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,0.0,0.0,0.0,0.00014,0.5839,0.5839,0.5839,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-27.4248,-27.4278,0.001,True,False,Mode(963497464),0.0984,2,0.5822
